name,heat,carbohydrate,fat,protein
猪肝汤,33,2.64,1.16,3.20
韭菜炒茶树菇,113,14.99,4.0,6.81
武汉腊肉,525,5.67,52.11,8.36
财鱼片,108,2.11,5.12,13.21
米酒蒸鸡,133,3.28,8.66,9.33
雪菜炒肉丁,101,8.67,4.62,7.12
白菜豆腐泡,81,4.24,5.08,4.87
豆腐盒,187,8.43,13.37,8.29
金口香肠,306,5.36,26.88,11.55
炖全鸡,299,10.41,20.74,17.47
椒盐酥肉,197,4.77,15.22,10.34
糍粑,302,52.02,7.28,6.87
三鲜千张卷,110,2.01,7.85,7.42
面筋烧五花肉,132,7.76,6.49,11.50
紫菜苔炒腊肉,161,2.69,14.98,4.50
黄焖甲鱼,81,1.91,4.34,8.47
板栗烧仔鸡,271,11.63,17.88,16.01
白汁虾面,83,5.61,2.69,8.94
豆丝(湿),123,21.10,2.04,6.74
糖醋带鱼,165,13.38,5.68,15.41
莲藕炖排骨,120,2.25,9.36,6.95
二回头,178,1.90,12.34,14.84
油烹银鱼干贝,161,3.86,6.91,20.72
壳黄虾饼,205,10.34,12.35,12.87
茄子豆角,41,5.57,2.02,1.74
烧鱼块,155,4.58,8.7,14.88
萝卜肉丝,60,5.31,2.7,4.42
黄州东坡肉,394,5.10,38.32,7.08
茼蒿伴春头,76,9.83,3.5,2.58
粉蒸肉,372,12.13,32.66,6.84
粉蒸土豆,110,22.11,1.56,2.63
荷花肚,119,1.05,7.57,11.40
亮干肉,132,3.73,8.57,9.85
武汉热干面,219,21.32,13.12,4.77
油浸咸鱼,124,1.38,6.8,14.76
玉带财鱼卷,131,3.64,8.31,10.22
米粑粑,178,39.18,0.67,2.89
三鲜圆子,180,3.48,12.79,12.49
炸面窝,311,59.08,3.43,13.09
菊花财鱼,124,8.54,4.81,11.53
银耳莲子汤,29,7.03,0.05,0.41
鸡粥花菜,88,4.81,3.78,8.42
太和鸡,101,1.09,5.86,10.84
玉米鸡茸,71,3.94,3.37,6.05
凉拌裙带菜,61,11.55,0.41,6.37
青椒炒牛肚,104,4.79,6.94,6.73
欢喜坨,251,21.87,3.04,0.32
果蔬酸奶沙拉,65,11.71,1.98,1.15
白切羊肉,196,3.03,12.85,16.58
炸虾球,91,6.86,3.78,7.45
虎皮蹄膀,287,9.43,21.02,14.96
豆豉鱼块,174,4.13,9.59,18.06
豆腐圆子,171,10.27,10.52,9.27
黄陂糖蒸肉,353,28.81,22.31,9.15
蒸茼蒿,69,14.57,1.0,1.46
梅干菜烧肉,463,7.95,45.6,9.48
红烧肥肠,134,2.40,11.79,4.14
豆腐拌皮蛋,137,4.21,9.88,7.89
米酒糖心蛋,59,8.34,1.65,2.58
洋葱青椒爆猪肝,93,8.02,4.95,5.18
粉蒸石头鱼,137,7.57,5.33,14.55
皮条鳝鱼,138,11.56,5.02,11.47
扣蒸酥鸡,248,9.72,16.43,15.08
桂花糊米酒,54,11.46,0.01,0.11
金银蛋饺,167,4.20,10.27,14.44
土豆牛腩,187,4.00,15.77,7.58
自制三鲜豆皮,266,32.78,10.57,11.02
糖枯鳝丝,124,4.23,5.22,15.20
荷包圆子,179,12.18,9.55,10.56
糍粑鱼,147,3.27,8.12,15.46
琵琶鸡,262,15.77,15.24,15.78
锅贴桂鱼,253,1.04,22.52,11.59
土豆烧鸡,122,7.38,4.21,13.79
元宝肉,363,4.20,33.76,10.35
熏鹌鹑蛋,139,9.96,6.96,9.28
麻花桂鱼,138,2.94,7.15,15.41
油泼仔鸡块,260,9.70,16.76,16.83
米酒鸡蛋红枣枸杞桂园汤,49,6.04,1.53,2.77
茄汁素鸡腿,139,13.87,5.63,7.97
鸡蛋燕麦羹,75,5.89,4.17,3.91
椒盐蛋皮椿卷,154,8.59,10.41,7.46
黄焖牛肉,123,6.34,5.87,11.00
凤眼肝,223,7.54,15.73,13.36
支骨鸡酥,234,7.24,15.8,15.63
鄂南石鸡,101,0.57,2.12,19.78
茶树菇烧五花肉,233,23.68,12.44,12.38
牡丹火锅,174,9.31,10.13,10.99
龙虎斗,218,12.82,13.01,12.31
冻鲫鱼,68,2.36,3.07,7.94
清炒油菜苔,54,3.10,3.55,3.42
菊花素海参,251,16.07,11.77,18.57
七星灌肠,211,4.59,17.28,9.29
海蚌,42,0.20,0.3,9.50
nautilus橄榄油浸金枪鱼,192,0.00,9.53,26.50
白条鱼,103,1.60,3.3,16.60
深水湾三文鱼肉肠,175,8.00,11.0,11.00
鲅鱼,121,2.10,3.1,21.20
Easy Fun 低脂鸡胸肉(香辣味),130,0.00,1.9,27.90
比目鱼,107,0.50,2.3,21.10
福泽香辣海蜇,39,3.85,0.0,7.69
黄鱼(大黄花鱼),97,0.80,2.5,17.70
草鱼,113,0.00,5.2,16.60
鲜得味 金枪鱼罐头(天然泉水浸),85,0.00,0.6,20.00
SR金枪鱼罐头(番茄味),125,2.70,5.2,16.70
鲫鱼,108,3.80,2.7,17.10
鲽,107,0.50,2.3,21.10
培根(熏肉),181,2.60,9.0,22.30
鲭鱼(烤，180摄氏度，10分),373,0.00,31.8,20.20
广式腊肠,584,15.30,48.3,22.00
锦蛇,94,1.60,0.7,20.30
法国蜗牛,90,2.00,1.4,16.10
沙蛤蜊,56,0.80,1.9,8.90
对虾,93,2.80,0.8,18.60
鳜鱼,117,0.00,4.2,19.90
羊肉串(烤),206,2.40,10.3,26.00
墨鱼丸,128,8.00,4.7,13.40
蟹足棒,123,20.50,0.6,9.00
HertaFinesse低脂火鸡胸切片,100,1.00,2.0,19.50
鲜得味金枪鱼(天然泉水浸),91,0.00,2.0,18.00
文蛤丸,211,15.80,9.2,16.20
神丹 鸟王松花鸭皮蛋,170,2.90,10.5,14.10
仙丹鹌鹑皮蛋,134,13.50,3.0,13.20
斑节对虾,103,5.40,0.8,18.60
鸡蛋(红皮),156,1.30,11.1,12.80
梭子蟹,95,0.90,3.1,15.90
青鱼,118,0.00,4.2,20.10
黄螺,106,4.50,1.0,19.80
鲜得味金枪鱼罐头(四季沙拉),81,7.70,3.0,9.00
阿一 鲍鱼(两只装),108,1.00,0.7,24.00
鲚鱼(大),106,0.80,5.5,13.20
Easy Fun 低脂鸡胸肉(黑椒味),134,0.00,2.6,27.20
鸭胸脯肉,90,4.00,1.5,15.00
鸡蛋黄,328,3.40,28.2,15.20
沙丁鱼(油浸),220,0.00,14.1,23.30
麦当劳 那么大鸡小块,257,13.00,15.1,16.80
羊肉(肥瘦),203,0.00,14.1,19.00
罗非鱼(莫桑比克),77,1.00,1.0,16.00
鹌鹑蛋,160,2.10,11.1,12.80
古龙豆鼓沙丁鱼罐头,370,8.00,26.0,25.00
鲮鱼(罐头),399,8.50,26.9,30.70
火鸡肫,91,3.20,0.3,18.90
荷包蛋(油煎),195,1.40,15.0,13.50
白米虾,81,2.00,0.4,17.30
毛蛋,176,0.00,13.2,14.20
叉烧肉,196,6.00,9.8,20.90
白姑鱼(鱼),150,0.00,8.2,19.10
石螺,90,8.20,0.7,12.80
seaload低脂金枪鱼罐头,114,0.00,0.5,26.40
黄鳝丝,69,0.00,0.8,15.40
神丹 好土鸡蛋,159,1.60,10.8,13.80
红娘鱼,105,1.90,2.8,18.00
金线鱼,101,0.00,2.9,18.60
明虾,85,3.80,1.8,13.40
鸡(母鸡，一年内),256,5.80,16.8,20.30
古龙牌鲜炸沙丁鱼罐头,350,2.00,28.0,22.00
猪大排,264,1.70,20.4,18.30
鲜得味金枪鱼罐头(香辣),133,0.00,5.0,18.00
蛤蜊,62,2.80,1.1,10.10
河蚬,47,1.70,1.4,7.00
黄鳝,89,1.20,1.4,18.00
海蜇头,74,11.80,0.3,6.00
火腿肠,212,15.60,10.4,14.00
桂冠虾球,84,9.00,0.8,11.00
海蜇皮,33,3.80,0.3,3.70
黄鱼(小黄花鱼),99,0.10,3.0,17.90
无油煎蛋,164,0.20,11.7,12.30
鸡蛋(白皮),138,1.50,9.0,12.70
虾米,198,0.00,2.6,43.70
牛肉干,550,1.90,40.0,45.60
桂冠鱼豆腐蟹肉蛋黄味,177,13.70,9.4,9.50
seaload太平洋鱼条,189,16.20,8.7,11.30
双大无骨鸡柳香辣味,110,1.40,3.0,15.00
黄颡鱼,124,7.10,2.7,17.80
鲜得味 金枪鱼罐头(纯黄豆油浸),191,0.00,12.0,20.00
午餐鱼(香辣味),383,3.30,30.2,24.40
猪小排(良杂猪),351,0.00,32.7,14.10
火鸡腿,91,0.00,1.2,20.00
猪肝,126,1.80,4.7,19.20
海虾,79,1.50,0.6,16.80
桂冠鱼丸,84,5.00,1.0,11.00
联华 即食海蜇丝(海鲜味),40,3.33,0.0,6.67
咸鸭蛋,190,6.30,12.7,12.70
沙丁鱼,89,0.00,1.1,19.80
沙丁鱼(茄汁，熟),155,3.00,9.8,13.80
鳙鱼,100,4.70,2.2,15.30
丰正 天然海蜇(麻辣味),43,2.90,1.2,5.00
鲭鱼(蒸),390,0.70,36.5,14.60
甲鱼,118,2.10,4.3,17.80
海胆,120,3.30,4.8,16.00
湟鱼(裸鲤鱼),124,6.70,3.2,17.10
联华 即食海蜇丝(酸甜味),40,3.33,0.0,6.67
鸡肝,121,2.80,4.8,16.60
蛏子,40,2.10,0.3,7.30
空壳贝,60,2.00,0.5,12.00
鳕鱼,88,0.50,0.5,20.40
桂冠香菇贡丸,210,7.00,13.0,13.00
B&F 矿泉水浸吞拿鱼,100,0.00,0.5,23.00
猪肉(奶脯),349,0.00,35.3,7.70
午餐肉,229,12.00,15.9,9.40
带鱼,127,3.10,4.9,17.70
乐购 MARKET15CAGED鸡蛋,151,0.00,11.2,12.50
乳鸽,352,0.00,34.1,11.30
刺蛄,77,0.00,1.4,16.00
肯德基 新奥尔良烤翅,240,6.80,13.8,22.10
藏鸡蛋,162,2.40,11.3,12.60
秋蛤蜊,89,5.00,0.7,15.60
蛇蛋,145,2.30,9.1,13.40
烤鸡,265,0.00,16.9,28.10
饭铲头蛇,88,6.10,0.4,15.10
红螺,119,7.60,0.9,20.20
熟鸡蛋,151,2.10,10.5,12.10
黑鱼,85,0.00,1.2,18.50
鸡(土鸡，家养),124,0.00,4.5,20.80
日本水产高营养鸡肉松,185,16.17,4.5,20.00
Naturegg蛋白,48,0.00,0.0,11.11
海鳗,122,0.50,5.0,18.80
田鸡,93,0.00,1.2,20.50
鲭鱼(烤，150摄氏度，20分),390,0.00,34.8,19.10
海蟹,95,4.70,2.3,13.80
定海针 蝴蝶面包虾(炸面包虾),143,18.50,2.4,12.20
桂冠 贡丸,234,3.00,17.0,16.00
Easy Fun 低脂鸡胸肉肠(原味),131,3.20,1.5,25.80
小龙虾,93,0.00,3.8,14.80
螺蛳,59,6.00,0.6,7.50
鹅蛋,196,2.80,15.6,11.10
鲑鱼(三文鱼),139,0.00,7.8,17.20
Easy Fun 低脂鸡肉丸(原味),93,1.10,2.3,16.90
麦当劳 麦香鱼,253,27.50,10.4,11.50
联华鸡汁鸡蛋干,122,4.00,4.5,12.50
鸡蛋白(鸡蛋清),60,3.10,0.1,11.60
虾皮,153,2.50,2.2,30.70
肯德基 吮指原味鸡,346,9.00,21.29,29.71
猪血,55,0.90,0.3,12.20
鸡蛋,139,2.40,8.6,13.10
KingFisher天然蟹肉罐头,80,1.50,0.5,17.10
鸡蛋粉,545,11.30,36.2,43.40
塘水虾,96,0.00,1.2,21.20
Easy Fun 低脂鸡胸肉肠(香辣味),136,4.90,2.5,23.00
鹅蛋黄,324,6.20,26.4,15.50
基围虾,101,3.90,1.4,18.20
鲇鱼,103,0.00,3.7,17.30
同荣蕃茄汁鲭鱼罐头,164,4.40,9.8,14.50
沙钻鱼,84,1.20,0.6,18.40
神丹  神丹鹌鹑蛋,158,1.60,11.2,12.60
鲤鱼,109,0.50,4.1,17.60
鸽子,201,1.70,14.2,16.50
丁香鱼(香辣味),403,18.30,28.2,19.00
瓦罐鸡汤(无料),27,0.00,2.4,1.30
蟹肉,62,1.10,1.2,11.60
海参,78,2.50,0.2,16.50
JOHN WEST JohnWest精加工蟹肉罐头,142,3.80,7.0,16.00
鸡(肉鸡，肥),389,0.90,35.4,16.70
Oscar Mayer 蜜熏火鸡胸脯肉,98,3.92,1.96,17.65
猪小排,295,0.00,25.3,16.80
鲐鱼,155,2.20,7.4,19.90
过树榕蛇,75,4.50,0.2,13.70
真鱼,116,0.00,4.0,20.00
鲭鱼(烤，150摄氏度，10分),412,0.00,37.8,16.50
墨鱼(干),287,2.10,1.9,65.30
田鸡腿,79,4.70,1.4,11.80
鸡爪,254,2.70,16.4,23.90
凤尾鱼(熟),520,9.70,43.0,23.50
香肠,508,11.20,40.7,24.10
鳗鱼(红烧),211,9.50,9.8,21.30
黄姑鱼(鱼),137,0.00,7.0,18.40
鸡腿,146,0.00,7.2,20.20
鳗鱼,181,2.30,10.8,18.60
东方对虾,84,1.60,0.5,18.30
京辉 冻虾仁,92,1.00,1.25,19.00
远洋 水浸金枪鱼,71,0.90,1.9,11.50
箭鱼(炸),271,10.70,16.1,20.80
古龙丁香鱼罐头,400,19.00,29.0,15.00
酱牛肉,246,3.20,11.9,31.40
杂色蛤蜊,53,0.70,2.2,7.50
鹅,251,0.00,19.9,17.90
捡蛋去吧 茶叶鹧鸪蛋,139,0.90,8.0,15.80
海冠牌熟咸蛋,147,3.64,9.09,12.73
银蚶,71,2.30,1.4,12.20
Easy Fun 鸡胸肉丝(原味),418,8.40,7.0,79.30
鸭蛋,180,3.10,13.0,12.60
鲜贝,77,2.50,0.5,15.70
鲮鱼(豆豉，煮),472,17.90,33.1,25.50
虾,93,2.80,0.8,18.60
OceanRise 烟熏牡蛎,210,6.00,12.9,17.50
Easy Fun 低脂鸡蛋干(五香味),145,10.20,2.6,19.90
腊鹅,410,29.60,21.5,24.60
金鲨鱼翅(干),350,2.30,0.5,84.10
鹅蛋(煮),177,1.00,13.6,12.70
海皇饺子,190,28.00,3.0,10.00
麦当劳 麦乐鸡,281,14.50,17.12,16.50
猪肉(瘦),143,1.50,6.2,20.30
绿鳍马面豚,83,1.20,0.6,18.10
深水湾扇贝肉肠(单根),170,9.00,10.0,11.00
虾仁肉丸,152,16.70,7.4,4.60
猪肝(卤煮),203,5.60,8.3,26.40
热狗肠,307,6.90,25.2,13.20
美国厨师品牌块状吞拿鱼罐头(油浸),173,0.40,8.4,24.00
鲶鱼,146,3.10,8.0,15.40
神丹  神丹健康蛋咸鸭蛋黄,527,1.50,48.2,24.70
鲢鱼,104,0.00,3.6,17.80
古龙牌茄汁鲭鱼罐头,160,9.00,7.0,15.00
江虾,87,9.30,0.9,10.30
罗非鱼,98,2.80,1.5,18.40
鸭蛋黄,378,4.00,33.8,14.50
鲍鱼,69,9.50,0.1,15.80
鲨鱼,118,0.00,3.2,22.20
定海针 冻裹面包屑虾(棒虾),143,18.50,2.4,12.20
鹌鹑,110,0.20,3.1,20.20
轩辉日本豆腐,27,2.90,0.0,3.80
乐购 虾仁(COOKEDANDPEELED),65,0.00,0.8,13.70
猪肉(肥瘦),395,2.40,37.0,13.20
鳕鱼(炸),241,15.60,14.3,12.40
福记牛奶QQ蛋(鹌鹑蛋),193,4.67,12.0,16.00
章鱼,135,14.00,0.4,18.90
赤贝,61,0.00,0.6,13.90
香海螺,163,10.10,3.5,22.70
鲷,106,2.70,2.6,17.90
花蛤蜊,45,2.20,0.6,7.70
涮涮蟹肉棒,91,9.00,1.0,11.00
freerange鸡蛋,151,0.00,11.2,12.50
神丹 鹌鹑茶蛋,175,1.50,12.5,12.60
调皮香吧佬 鹌鹑蛋,175,1.50,12.5,12.60
鱼片干,303,22.00,3.4,46.10
酱鸭,266,6.30,18.4,18.90
甲鱼蛋,128,3.00,7.3,12.50
鸡蛋(土鸡),138,5.60,6.4,14.40
冻虾仁,48,0.00,0.7,10.40
鸡蛋白(乌骨鸡),44,1.00,0.1,9.80
鸡胸脯肉,118,0.60,1.9,24.60
火腿,330,4.90,27.4,16.00
公鸡标 雄鸡低脂水浸金枪鱼罐头,105,0.30,0.6,24.49
金枪鱼(盐水浸),99,0.00,0.6,23.50
鲭鱼(炸),550,0.10,53.4,17.20
Gut&Gunstig Gut&Guestig 冰洋小虾,63,0.00,0.8,14.00
猪肉松,316,21.60,8.3,38.60
河虾,87,0.00,2.4,16.40
鲚鱼(小),124,4.00,5.1,15.50
烧鹅,289,4.20,21.5,19.70
OSCAR MAYER Delifresh,88,1.96,0.98,15.69
鲻鱼,119,0.00,4.8,18.90
银鱼,105,0.00,4.0,17.20
龙虾,90,1.00,1.1,18.90
鳘鱼,89,0.00,0.9,20.20
海米,195,0.00,0.0,47.60
东远 油浸金枪鱼罐头,214,16.07,16.07,14.29
沙丁鱼(盐水浸),172,0.00,9.6,21.50
鳊鱼,135,1.20,6.3,18.30
鳓鱼,159,0.00,8.5,20.70
鹅蛋白,48,3.20,0.0,8.90
鸡蛋黄粉,644,5.30,55.1,31.60
火鸡肝,143,3.10,5.6,20.00
鲜得味金枪鱼罐头(广东风味),125,0.00,4.1,17.20
鸟王咸鸭蛋,174,4.30,12.1,13.10
长毛对虾,90,3.00,0.4,18.50
Easy Fun 低脂鸡蛋干(山椒味),125,13.50,2.6,11.50
麦当劳 麦辣鸡翅,210,8.50,13.4,13.30
鹅肝,129,9.30,3.4,15.20
Easy Fun 低脂蛋清鸡肉饼(原味),139,8.00,2.9,19.80
田螺,60,3.60,0.2,11.00
sealord 三文鱼罐头,189,0.10,14.2,15.60
JOHN WEST JohnWest精加工龙虾肉罐头,105,2.00,5.0,13.00
食为鲜 鹌鹑蛋,158,1.60,11.2,12.60
广东香肠,433,6.40,37.3,18.00
无虾米,85,0.00,2.0,16.00
海蟹(小),81,3.60,1.1,14.20
猪蹄,260,0.00,18.8,22.60
海鸭蛋,243,16.90,13.8,12.70
鲭鱼(煮),372,0.40,34.5,14.90
麦当劳 香骨鸡腿,217,10.70,13.3,13.50
鸭肝,128,0.50,7.5,14.50
舌鳎,83,0.00,1.4,17.70
鹌鹑蛋(五香罐头),152,0.00,11.7,11.60
鸭肉,240,0.20,19.7,15.50
胡婆婆 鸡蛋干(鸡汁味),117,10.50,1.5,14.00
北极虾,132,15.40,1.2,14.90
泥蚶,71,6.00,0.8,10.00
乳鸽(红烧),255,0.00,20.8,16.90
福记铁蛋,207,9.33,11.33,16.67
鸭蛋白,47,1.80,0.0,9.90
踞缘青蟹,80,1.70,1.6,14.60
生蚝,57,0.00,1.5,10.90
泥鳅,96,1.70,2.0,17.90
小胖子金枪鱼(辣味),270,8.70,19.35,15.22
虾虎,81,4.80,1.7,11.60
鲜得味金枪鱼罐头(豉汁),136,0.00,6.0,17.00
Easy Fun 高蛋白小酥鱼(藤椒味),351,0.80,6.0,72.40
猪肉(肋条肉),568,0.00,59.0,9.30
口头鱼,134,4.50,4.2,19.60
鲮鱼,95,0.70,2.1,18.40
nautilus水浸金枪鱼块,106,0.00,1.02,24.20
带鱼(切段),108,0.00,4.2,17.60
Aia 低卡三明治火鸡肉片,94,3.00,1.5,17.00
乐购 KING虾,80,0.10,0.9,17.90
鲅鱼(咸),157,12.40,1.6,23.30
火鸡胸脯肉,103,2.80,0.2,22.40
爱之味鲔鱼片,290,7.64,20.55,18.73
金枪鱼(油浸),189,0.00,9.0,27.10
seaload金枪鱼罐头(水浸),117,0.00,1.4,25.80
鱼丸,107,12.70,1.3,11.10
Easy Fun 高蛋白小酥鱼(海苔味),305,0.80,6.0,61.20
北京烤鸭,436,6.00,38.4,16.60
东海 虾仁,66,1.00,0.8,12.90
神丹 鹌鹑茶蛋(麻辣味),175,1.50,12.5,12.60
乌鸡蛋(绿皮),170,6.10,10.6,12.60
毛蛤蜊,97,7.10,1.0,15.00
瓦罐鸡汤(含料),190,5.20,9.5,20.90
鳕鱼(烤),96,0.00,1.2,21.40
脆皮肠,302,4.80,24.0,16.60
好当家 即食大虾,79,1.50,0.6,16.80
鲜得味香辣金枪鱼,201,11.00,11.0,15.00
沃尔沃斯 水浸金枪鱼罐头,110,1.00,0.5,25.00
乌鱼蛋,66,0.00,1.1,14.10
河蚌,54,0.70,0.8,10.90
鲜得味金枪鱼罐头(五香),120,0.00,6.0,14.90
牛肉(腑肋),123,0.00,5.4,18.60
牛蛙,81,3.40,0.5,15.70
鱼排,160,24.50,2.4,10.10
咸鸭蛋(煮),177,0.00,13.5,13.80
鲈鱼,105,0.00,3.4,18.60
水蛇,90,5.90,1.0,14.40
猪肉脯,378,46.60,8.8,28.00
鸡翅,202,5.50,11.5,19.00
蛏干,340,27.40,4.9,46.50
Easy Fun 低脂鸡胸肉肠(黑椒味),122,4.90,0.7,23.60
鳎目鱼,83,0.00,1.4,17.70
Easy Fun 低脂鸡胸肉肠,142,2.30,2.4,27.40
螺,100,6.60,1.2,15.70
鸭翅,146,6.30,6.1,16.50
素色拉,346,8.76,33.02,5.48
炒素肠,326,15.55,25.0,12.60
阳春面,43,6.24,1.5,1.31
猪肉芹菜小笼包,206,34.34,3.45,9.69
芋艿排骨煲,197,6.24,14.27,11.22
白烧素鸡,220,24.36,11.67,5.35
上海广式叉烧,203,6.91,10.33,14.55
粢饭糕,304,45.00,11.97,4.48
黄焖鳝筒,154,4.54,10.19,11.47
沪式风鸡,159,1.90,8.87,18.13
咖喱土豆,97,19.09,2.66,2.53
毛豆炒榨菜,87,8.85,2.76,5.41
番茄糖,162,39.96,0.13,0.56
芝麻糖片,503,38.09,35.46,16.32
烧豆腐,214,12.28,14.8,9.02
穿衣花生,536,30.81,38.43,20.90
牛奶燕麦粥,92,17.07,1.12,4.18
红烧塘鲤鱼,199,8.56,12.9,12.32
田螺塞肉,197,5.43,15.02,10.13
小黄鱼烩豆腐,159,5.41,9.88,12.34
紫菜卷,276,23.77,15.43,9.20
自制酱鸭,232,4.00,17.68,14.01
毛蟹炒年糕,183,18.14,8.4,8.97
盐水鸭肫,88,2.63,1.21,16.28
山楂冻,248,60.95,0.3,0.25
鲜肉汤团,155,20.66,6.13,3.73
荠菜豆腐汤,48,2.36,2.89,3.60
蒜蓉蒸茄子,61,9.99,1.76,1.84
糟猪爪,227,0.56,15.93,19.41
绿豆百合莲心红枣汤,45,9.57,0.13,2.39
清炒香菇,61,3.00,4.48,2.14
翡翠烧麦,231,33.63,9.3,4.30
芝麻汤团,224,28.13,11.15,2.56
辣酱肉末烧海带,129,4.84,11.19,2.89
赤豆粽子,184,38.09,1.9,4.57
素炒虾仁,197,18.71,12.67,3.31
油焖蹄子,103,10.37,5.92,3.62
肉骨头粥,79,12.80,2.17,2.36
豆酥糖,366,65.73,7.21,16.04
金橘糖,196,48.71,0.05,0.43
羊肉粥,82,8.81,1.48,8.38
牛皮糖,251,53.32,3.1,2.24
什锦水果羹,62,14.42,0.11,0.73
雪里蕻煎蛋饼,170,3.62,12.67,10.08
熏鱼,171,17.05,6.0,13.38
雪菜黄鱼汤,48,0.63,2.29,6.12
本帮冰糖甲鱼,185,5.36,11.56,14.65
竹笋烧咸肉,198,2.82,17.16,8.93
熘素明虾,101,12.26,3.35,4.88
菜烩面,133,14.99,5.18,6.99
南乳汁肉,459,7.90,43.85,8.45
五味鸡腿,187,5.53,13.43,11.28
荠菜肉丝炒年糕,154,20.47,5.89,4.29
上海酱鸭,247,12.06,15.96,12.34
苦瓜炒蛋,110,2.98,7.09,8.12
胡桃仁糖,502,60.66,27.75,6.50
毛豆焖童子鸡,203,6.82,12.7,15.97
香菇面筋,323,21.12,21.98,11.51
马拉糕,279,53.93,4.01,6.85
酥皮肉饺,240,18.02,14.51,8.98
上海猪肉脯,170,13.33,5.27,17.39
肉丝炒面,216,15.78,14.38,6.20
油焖冬笋,109,7.49,7.01,4.40
百果松糕,385,68.03,10.18,4.32
豆腐饺子,169,24.70,4.2,8.82
河虾炒青瓜,186,2.35,14.91,9.89
酥炸鱼卷,363,30.27,25.71,3.15
南洋奶油虾,182,9.86,9.81,15.50
花生酱软糖,450,67.23,19.06,2.94
小米杂粮粥,38,8.32,0.26,0.90
香肠蒸蛋,184,3.84,13.16,12.55
家常烧黄鱼,96,1.62,5.15,10.42
糖醋熘黄鱼,130,14.46,3.65,9.17
芦笋烩鲜蘑,48,5.43,2.94,1.74
马蹄粟米煎肉饼,385,8.37,36.09,7.15
糖醋鲈鱼,156,25.34,1.74,9.82
什锦暖锅,179,9.44,11.8,9.53
红枣松糕,139,25.41,2.67,3.74
逍遥鸡,200,2.71,13.19,17.52
芝麻拌菠菜,63,6.53,3.42,3.78
五香花生米,472,21.07,36.15,20.63
冰豆腐塌菜,80,2.90,5.44,4.34
腌笃鲜(不含汤),241,1.37,23.23,6.91
干切咸肉,176,0.84,11.81,16.52
小笼包,196,27.18,6.05,9.06
山芋金钱饼,372,70.53,8.18,3.84
脆松糖,455,64.10,21.55,4.11
炒螺丝面,314,34.45,15.2,10.12
桃仁土司,342,24.22,25.44,5.45
南乳汁虾,163,3.45,10.61,13.66
菜心肉圆,257,11.63,21.38,5.22
花生糖,470,58.33,22.77,9.94
茄汁鲈鱼,152,2.66,8.65,16.00
山楂软糖,298,73.58,0.24,0.22
菜花炒素虾仁,138,12.88,8.2,4.42
红焖螃蟹,108,3.64,5.47,11.12
蒜苗炒鱿鱼,97,7.94,3.3,9.35
茭白炒鳝丝,77,6.51,2.58,7.93
酸辣菜,124,24.47,2.91,1.85
竹笋焖肉,302,4.51,29.27,5.54
香酥炸藕饼,300,41.17,11.7,8.75
芋艿百叶包肉,242,10.78,18.52,8.32
鸡蛋饼包油条,307,34.39,15.73,7.25
古老肉,291,20.73,20.51,6.90
肉糜豆腐,119,5.65,5.8,11.58
芝麻荞麦糊,157,15.95,8.39,7.69
芋艿清汤鸭,84,2.71,6.05,4.76
酥炸鲜蘑菇,283,11.86,24.54,2.99
家常粉丝煲,359,41.34,20.14,4.16
虾米葱油面,247,46.09,3.56,8.24
炒素鸡丁,232,7.23,17.55,12.14
香酥蛋饺,208,13.03,10.36,14.85
花蟹炒年糕,171,15.06,8.01,9.82
上海糖醋小排骨,431,4.20,42.95,7.01
生煸草头,127,11.45,7.66,3.66
瓜酱鲈鱼,116,2.92,5.51,13.77
绿豆粥,48,9.49,0.11,2.07
油豆腐塞肉,265,9.79,20.41,10.50
三丁包,334,39.50,14.52,11.64
糯米藕夹,197,23.55,9.62,3.42
白薯软糖,279,65.75,1.48,0.65
怪味花生,514,46.36,31.64,14.04
炒鸭肫,112,5.17,2.97,16.24
干烧明虾,174,7.11,11.64,9.61
生煸豆荚,153,19.65,6.37,7.05
生煎包,248,20.20,14.01,9.65
酱爆茄子,82,7.00,5.7,1.80
木耳(水发),27,6.00,0.2,1.50
西兰花,27,3.70,0.6,3.50
木耳(干),265,65.60,1.5,12.10
西瓜,31,6.80,0.3,0.50
香蕉,93,22.00,0.2,1.40
乌梅,287,76.60,2.3,6.80
豌豆苗,32,2.60,0.8,4.80
芹菜(药芹),13,3.10,0.2,0.40
大白菜(小白口),16,2.80,0.1,1.30
猕猴桃,61,14.50,0.6,0.80
香菇(鲜),26,5.20,0.3,2.20
坑藻,266,50.90,0.2,15.00
四川味聚特特级低盐酸辣木耳片,48,3.25,3.13,1.75
奶柿子,14,3.20,0.1,0.60
洋葱,40,9.00,0.2,1.10
苹果,53,13.70,0.2,0.40
哈密瓜,34,7.90,0.1,0.50
花菜,20,4.20,0.2,1.70
龙龙葵,43,8.10,0.2,1.80
大白菜,20,3.40,0.2,1.60
豆芽(绿豆芽),16,2.60,0.1,1.70
胡萝卜(嫩),32,8.10,0.2,1.00
苦桃,52,13.00,0.1,1.00
菠萝,44,10.80,0.1,0.50
海带(浸),16,3.00,0.1,1.10
梨,51,13.10,0.1,0.30
苋菜(绿),30,5.00,0.3,2.80
冬瓜,10,2.40,0.2,0.30
小白菜,14,2.40,0.3,1.40
鱼腥草(叶),32,10.70,0.1,2.10
