rank,en,zh
8143,heighten,"['haitn]
v.
提高, 升高"
8144,eve,"[i:v]
n.
[诗]黄昏, 前夕, 前日"
8145,sociology,"[ˏsәusi'ɔlәdʒi]
n.
社会学"
8146,expressive,"[iks'presiv]
adj.
表现的, 表达...的, 有表现力的, 富于表情的"
8147,moose,"[mu:s]
n.
[动] 驼鹿(产于北美的一种大鹿)"
8148,yearn,"[jә:n]
vi.
渴望, 想念, 怀念, 向往"
8149,shower,"['ʃauә]
n.
阵雨, 淋浴, (一)阵, (一)大批
vt.
大量地给与"
8150,gig,"[gig]
n.
旋转物
v.
乘轻便双轮马车"
8151,mutually,"['mju:tʃuәli, -tjuәli]
adv.
互相地, 互助"
8152,unsure,"['ʌn'ʃuә]
adj.
没有自信的, 不肯定的, 不确定的"
8153,bound,"[baund]
n.
跃进, 跳, 范围, 限度
adj.
正要启程的, 开往...去的, 被束缚的, 装订的
v.
跳跃, 限制"
8154,latitude,"['lætitju:d]
n.
纬度, 范围, (用复数)地区, 行动或言论的自由(范围)"
8155,prostitution,"[ˏprɔsti'tju:ʃәn]
n.
卖淫, 堕落,滥用,糟蹋"
8156,meaningless,"['mi:niŋlis]
adj.
无意义的"
8157,ceramics,"[si'ræmiks]
n.
制陶术, 制陶业"
8158,adorn,"[ә'dɔ:n]
v.
装饰"
8159,acceleration,"[ækˏselә'reiʃәn]
n.
加速度"
8160,detainee,"[ˏdi:tei'ni:]
n.
被拘留者, 未判决囚犯"
8161,rabbi,"['ræbai]
n.
拉比(犹太人的学者), 法学博士, 法师, 先生"
8162,equate,"[i'kweit]
vt.
使相等, [数]视为平等
vi.
等同"
8163,clearing,"['kliәriŋ]
n.
空旷地"
8164,unseen,"['ʌn'si:n]
adj.
未见过的, 看不见的, 未经预习的"
8165,Asian,"['eiʃәn]
adj.
亚洲的, 亚洲人的
n.
亚洲人"
8166,alarm,"[ә'lɑ:m]
n.
警报, 惊慌, 警告器
vt.
恐吓, 警告"
8167,inaugural,"[i'nɔ:gjurәl]
adj.
就职的, 开始的
n.
就职演说"
8168,Shiite,"['ʃi:ait]
n.
什叶派教徒"
8169,Hindu,"['hindu:]
n.
印度人, 印度教教徒
adj.
印度人的,印度教的"
8170,theoretically,"adv.
理论上, 理论地"
8171,unify,"['ju:nifai]
vt.
统一, 使成一体"
8172,famed,"[feimd]
adj.
著名的, 闻名的"
8173,twisted,"
adj. 扭曲的"
8174,turnout,"['tә:naut]
n.
聚集的人群, 出席者, 产量"
8175,indifference,"[in'difrәns]
n.
不关心"
8176,pharmacy,"['fɑ:mәsi]
n.
药房, 药剂学, 配药业, 制药业, 一批备用药品"
8177,contingency,"[kәn'tindʒәnsi]
n.
偶然, 可能性, 意外事故, 可能发生的附带事件"
8178,bill,"[bil]
n.
帐单, 钞票, 票据, 清单, 议案, 法案, 广告
vt.
用海报宣传, 把...列成表, 给...开帐单"
8179,whirl,"[(h)wә:l]
v.
(使)旋转, 急动, 急走
n.
旋转, —连串快速的活动"
8180,wavelength,"['weivleŋθ]
n.
[物][无]波长"
8181,curb,"[kә:b]
n.
路边"
8182,categorize,"['kætigәraiz]
v.
加以类别, 分类"
8183,distinctly,"adv.
清楚地, 显然"
8184,spiral,"['spaiәrәl]
adj.
螺旋形的
n.
螺旋
v.
盘旋"
8185,attempted,
8186,cardiac,"['kɑ:diæk]
n.
强心剂, 强胃剂
adj.
心脏的, (胃的)贲门的"
8187,bridge,"[bridʒ]
n.
桥, 船桥, 鼻梁, 桥牌
vt.
架桥, 渡过"
8188,plow,"[plau]
n.
犁
v.
耕, 犁, 犁耕, 费力穿过, 艰苦前进, 在考试中淘汰"
8189,flutter,"['flʌtә]
n.
摆动, 鼓翼, 烦扰
vi.
鼓翼, 飘动, 悸动, 乱跳, 烦扰
vt.
拍(翅), 使焦急"
8190,flirt,"[flә:t]
vt.
忽然弹出, 挥动
vi.
调情, 摇晃的移动, 玩弄, 摇晃地摆动, 摆动, 轻率地对待
n.
卖弄风情的人, 调情的人"
8191,punk,"[pʌŋk]
n.
废物, 小阿飞, 年轻无知得人
adj.
无用的, 低劣的
朋客, 崩客"
8192,surf,"[sә:f]
n.
海浪, 拍岸浪
vi.
作冲浪运动
vt.
在激浪上驾(船), 在...冲浪"
8193,paw,"[pɔ:]
n.
手掌, 手爪
v.
以蹄扒地, 抓, 笨拙地使用, 费力地前进, (人)用手笨拙地摸
abbr.
[军] Plasma-Arc Welding, 等离子弧焊"
8194,computerized,"
adj. 电脑化的"
8195,atrocity,"[ә'trɔsiti]
n.
残暴, 暴行, 凶恶"
8196,sovereign,"['sɔvrin]
n.
君主, 统治
adj.
至高无上的, 君主的, 独立自主的, 完全的"
8197,hypothetical,"[ˏhaipәu'θetikәl]
adj.
假设的, 假定的,爱猜想的"
8198,trick,"[trik]
n.
诡计, 骗局, 恶作剧, 窍门, 诀窍
vt.
欺骗, 哄骗"
8199,flying,"['flaiiŋ]
adj.
飞扬的, 飞速的
n.
飞行, 飞花"
8200,postmodern,
8201,cooler,"['ku:lә]
n.
冷却器"
8202,swim,"[swim]
n.
游泳, 漂浮, 潮流, 眼花
adj.
游泳时穿戴的vi.游泳, 游, 漂浮, 旋转, 覆盖, 充溢, 眩晕, 浸
vt.
游过, 使浮起
adj.
游泳时穿戴的"
8203,blessed,"['blesid]
adj.
受祝福的"
8204,delete,"[di' li:t]
vt.
删除"
8205,flicker,"['flikә]
n.
扑动, 闪烁, 闪光, 颤动
vi.
闪动, 闪烁, 摇动, 扑动翅膀, [美俚]昏倒, 假装昏倒
vt.
使摇曳, 使闪烁"
8206,incur,"[in'kә:]
v.
招致"
8207,glamorous,"['glæmәrәs]
adj.
富有魅力的, 迷人的"
8208,brag,"[bræg]
n.
v.吹牛"
8209,successive,"[sәk'sesiv]
adj.
继承的, 连续的"
8210,souvenir,"['su:vәniә]
n.
纪念品"
8211,slate,"[sleit]
n.
板岩, 石板, 石片, 蓝色
adj.
暗蓝灰色的, 含板岩的
v.
铺石板"
8212,carpenter,"['kɑ:pintә]
n.
木匠"
8213,benchmark,[计] 基准
8214,exhausted,"[ig'zɔ:stid]
adj.
耗尽的, 疲惫的"
8215,familiarity,"[fәˏmili'æriti]
n.
熟悉, 通晓, 亲密, 熟悉, 精通"
8216,plank,"[plæŋk]
n.
厚木板, 支架, (政党的)政纲条款
vt.
铺板, 立刻付款
vi.
睡在板上"
8217,blaze,"[bleiz]
n.
火焰, 光辉, 情感爆发
vi.
燃烧, 照耀, 激发
vt.
在树皮上刻路标, 公开宣布"
8218,relaxation,"[ˏri:læk'seiʃәn]
n.
松弛, 放宽, 缓和, 减轻, 娱乐"
8219,lousy,"['lauzi]
adj.
<俚>污秽的, 恶心的, 生虱的"
8220,brand-new,"adj.
崭新的"
8221,GDP,"abbr.
国内生产总值(gross domestic product)"
8222,biscuit,"['biskit]
n.
饼干, 小点心"
8223,conversely,"['kɔnvә:sli]
adv.
倒地,逆地"
8224,narrowly,"['nærәuli]
adv.
勉强地, 精细地"
8225,tortilla,"[tɔ:'tilә]
n.
玉米粉圆饼"
8226,disciple,"[di'saipl]
n.
信徒, 弟子, 门徒"
8227,angrily,"adv.
愤怒地"
8228,vet,"[vet]
n.
兽医
v.
诊疗, 作兽医"
8229,backlash,"['bæklæʃ]
n.
反斜线(\), 后座, 后冲"
8230,physiological,"[ˏfiziә'lɔdʒikәl]
adj.
生理学的, 生理学上的"
8231,monastery,"['mɔnәstri]
n.
修道院, 僧侣"
8232,bakery,"['beikәri]
n.
面包店"
8233,hesitation,"[ˏhezi'teiʃәn]
n.
犹豫, 踌躇"
8234,headlight,"['hedlait]
n.
前灯, 桅灯"
8235,consortium,"[kәn'sɔ:tjәm]
n.
社团, 协会, 联盟, (国际)财团, [律]配偶的权利, <美>大学联盟协定"
8236,apron,"['eiprәn]
n.
围裙, 外表或作用类似围裙的东西, [机]挡板, 护坦"
8237,thunder,"['θʌndә]
n.
雷, 雷声, 轰隆声
vi.
打雷, 雷鸣"
8238,intern,"[in'tә:n]
n.
实习医师, 被拘留者
vi.
作实习医师
vt.
拘留"
8239,vow,"[vau]
n.
誓约
v.
宣誓, 立誓, 发誓"
8240,nostalgia,"[nɔs'tældʒiә]
n.
思家病, 乡愁, 向往过去, 怀旧之情"
8241,independent,"[indi'pendәnt]
n.
中立派, 无党派者
adj.
独立自主的, 不受约束的"
8242,preclude,"[pri'klu:d]
n.
排除"
8243,litter,"['litә]
n.
垃圾，（供动物睡眠或防冻用的）干草、树叶, (一)窝, 轿, 担架
vt.
乱丢, 铺草, 弄乱
vi.
产仔, 乱丢垃圾"
8244,divorced,离婚的
8245,exquisite,"['ekskwizit]
adj.
优美的, 高雅的, 精致的, 剧烈的, 异常的, 细腻的, 敏锐的"
8246,waterfall,"['wɔ:tәfɔ:l]
n.
瀑布, 瀑布似的东西"
8247,initiation,"[iˏniʃi'eiʃәn]
n.
开始"
8248,sniper,"['snaipә]
n.
狙击兵"
8249,automated,自动化的
8250,dear,"[diә]
adj.
昂贵的, 亲爱的
int.
[表示惊讶, 怜悯等], Oh, ～!"
8251,uneven,"['ʌni:vәn]
adj.
不平坦的, 不平均的, 不均匀的, 奇数的"
8252,without,"[wið'aut]
prep.
没有, 不, (表条件)如果没有, 要没有
adv.
在外, 在屋外"
8253,infected,"[in'fektid]
adj.
(伤口)被感染的"
8254,accordance,"[ә'kɔ:dәns]
n.
一致, 和谐"
8255,bodyguard,"['bɔdigɑ:d]
n.
保镖, 护卫"
8256,sic,"[sik]
adv.
<拉>原文如此(置括号中,表示前面所引的文字虽有错误或疑问,却是原文)"
8257,swap,"[swɔp]
v.
交换
n.
交换"
8258,immerse,"[i'mә:s]
vt.
沉浸, 使陷入"
8259,coyote,"['kɔiәut, -'әut]
n.
一种产于北美大草原的小狼, 山狗"
8260,mustache,"[mәs'tɑ:ʃ]
n.
髭, 胡子"
8261,consciously,"adv.
有意识地, 自觉地"
8262,thug,"[θʌg]
n.
暴徒, 凶手"
8263,fry,"[frai]
n.
油炸食物, 油炸锅, 鱼苗, 鱼秧
v.
油炸, 油煎"
8264,plaza,"['plɑ:zә]
n.
广场, 露天汽车停车场, 购物中心"
8265,misunderstanding,"[misʌndә'stændiŋ]
n.
误会, 误解"
8266,jealousy,"['dʒelәsi]
n.
嫉妒"
8267,cadet,"[kә'det]
n.
军官学校学生, <旧俚>(妓院)拉皮条的人"
8268,freeze,"[fri:z]
v.
(使)结冰, (使)冷冻, 冻结"
8269,aura,"['ɔ:rә]
n.
气氛, 气味, (圣象头部的)光环
[医]先兆, 预感"
8270,petroleum,"[pi'trәuliәm]
n.
石油"
8271,face-to-face,"adv.
面对面地"
8272,flap,"[flæp]
n.
拍打, 拍打声, 副翼
v.
拍打, 鼓翼而飞, 飘动, 拉下(帽)的边, 扔, 掷"
8273,submission,"[sәb'miʃәn]
n.
屈服, 降服, 服从, 谦恭, 投降"
8274,preheat,"['pri:'hi:t]
vt.
预先加热"
8275,honeymoon,"['hʌnimu:n]
n.
蜜月
vi.
度蜜月
v.
度蜜月"
8276,drastic,"['dræstik]
adj.
激烈的, (药性等)猛烈的"
8277,farewell,"['fєә'wel]
n.
辞别, 再见, 再会
int.
再会, 别了!(常含有永别或不容易再见面的意思)"
8278,chilling,"['tʃiliŋ]
冷却, 急剧冷却"
8279,competitiveness,
8280,patriotism,"['pætriәtizәm, 'pei-]
n.
爱国心, 爱国精神"
8281,striped,"[straipt]
adj.
有斑纹的"
8282,advent,"['ædvәnt]
n.
(尤指不寻常的人或事)出现, 到来"
8283,disciplinary,"['disiplinәri]
adj.
训练的, 训诫的, 规律的"
8284,crush,"[krʌʃ]
vt.
压碎, 碾碎, 压服, 压垮, 粉碎, (使)变形"
8285,woe,"[wәu]
n.
悲哀"
8286,ripple,"['ripl]
n.
波纹
v.
起波纹"
8287,imbalance,"[im'bælәns]
n.
不平衡, 不均衡"
8288,sauté,
8289,moderately,"adv.
适度地"
8290,shortcoming,"['ʃɔ:tkʌmiŋ]
n.
缺点, 短处"
8291,poker,"['pәukә]
n.
拨火棍, (用棍)戳的人, 纸牌戏
vt.
烙制"
8292,indoors,"['in'dɔ:z]
adv.
在户内"
8293,eighteenth,"['ei'ti:nθ]
n.
第十八, 十八分之一
num.
第十八"
8294,seam,"[si:m]
n.
接缝, 线缝, 缝合线, 衔接口, 伤疤, 层
vt.
缝合, 接合, 焊合, 使留下伤痕
vi.
裂开, 发生裂痕"
8295,restructure,"[ri'strʌktʃә]
vt.
更改结构, 重建构造, 调整, 改组"
8296,cookbook,"n.
食谱"
8297,longing,"['lɔŋiŋ]
n.
渴望"
8298,booster,"['bu:stә]
n.
<美俚>热心的拥护者, 后推的人, 支持者, 后援者, 调压器"
8299,carved,"adj.
有雕刻的"
8300,broadcaster,"['brɔ:dkɑ:stә]
n.
播送设备, 广播员, 撒播物
广播公司"
8301,alienate,"['eiljәneit]
v.
疏远"
8302,swimmer,"['swimә(r)]
n.
游泳者"
8303,sting,"[stiŋ]
n.
刺, 刺痛, 针刺
v.
刺, 刺痛, 刺激"
8304,idle,"['aidl]
adj.
空闲的, 懒惰的, 停顿的, 无用的, 无价值的
vi.
不做事, 游手好闲, (机器)空转, 虚度, 闲散, 不作事, 游手好闲, 浪费
vt.
虚度, 使空闲, 使空转"
8305,softball,"['sɔftbɔ:l]
n.
垒球运动, 垒球"
8306,dolphin,"['dɔlfin]
n.
海豚"
8307,exhaustion,"[ig'zɔ:stʃәn]
n.
耗尽枯竭, 疲惫, 筋疲力尽, 竭尽, 详尽无遗的论述"
8308,anatomy,"[ә'nætәmi]
n.
剖析, 解剖学"
8309,liberalism,"['libәrәlizm]
n.
自由主义"
8310,chill,"[tʃil]
n.
寒意, 寒战, 寒心
adj.
寒冷的, 扫兴的
v.
使冷, 变冷, 冷藏"
8311,pinpoint,"['pinˏpɔint]
n.
精确
adj.
极微小的
v.
查明"
8312,pivotal,"['pivәtәl]
adj.
枢轴的, 关键的"
8313,cinema,"['sinimә]
n.
电影院, 电影"
8314,ragged,"['rægid]
adj.
粗糙的"
8315,sandal,"['sændl]
n.
凉鞋, 檀香, 便鞋
v.
穿上便鞋"
8316,low,"[lәu]
n.
低, 低价, 牛叫声
adj.
低的, 浅的, 消沉的, 微弱的, 粗俗的, 卑贱的, 体质弱的
adv.
低下地, 谦卑地, 低声地, 低价地
vi.
牛叫"
8317,lavender,"['lævindә]
n.
[植]熏衣草属, 熏衣草花, 淡紫色
adj.
淡紫色的
vt.
用熏衣草熏"
8318,ubiquitous,"[ju:'bikwitәs]
adj.
到处存在的, (同时)普遍存在的"
8319,solitude,"['sɔlitju:d]
n.
孤独"
8320,drunken,"['drʌŋkәn]
adj.
酒醉的"
8321,square,"[skwєә]
n.
正方形, 广场, 平方, 直角尺
adj.
正方形的, 四方的, 直角的, 正直的, 公平的, 结清的, 平方的, 彻底的
adv.
成直角地, 正直地, 公平地, 坚定地
v.
使成方形, 弄平, 使直, 与...一致, 符合, 自乘, 结算"
8322,dissent,"[di'sent]
v.
不同意"
8323,sculptor,"['skʌlptә(r)]
n.
雕刻家"
8324,Kurd,"[kә:d]
n.
库尔德人(主要居住在伊拉克、伊朗、土耳其及叙利亚边界的地区)"
8325,haze,"[heiz]
n.
薄雾, 疑惑, 阴霾
vt.
使变朦胧, 使变糊涂, 使劳累
vi.
变朦胧, 变糊涂"
8326,mince,"[mins]
v.
切碎"
8327,scenery,"['si:nәri]
n.
风景, 景色"
8328,scenic,"['si:nik]
adj.
舞台的, 布景的, 景色优美的, 戏剧性的
n.
风景照片, 风景影片"
8329,cosmos,"['kɔzmɔs]
宇宙"
8330,grove,"[grәuv]
n.
小树林"
8331,inch,"[intʃ]
n.
英寸(=1/12英尺)"
8332,disconnect,"[ˏdiskә'nekt]
v.
拆开, 分离, 断开"
8333,front,"[frʌnt]
n.
前面, 开头, 前线, (政治上的)阵线, 态度, 外表
vt.
面对, 朝向, 对付
vi.
朝向"
8334,courageous,"[kә'reidʒәs]
adj.
勇敢的, 有胆量的"
8335,authenticity,"[ˏɔ:θen'tisiti]
n.
确实性, 真实性"
8336,fragrance,"['freigrәns]
n.
芬芳, 香气, 香味"
8337,converge,"[kәn'vә:dʒ]
v.
聚合, 集中于一点
vt.
会聚"
8338,luckily,"['lʌkili]
adv.
幸运地"
8339,Syrian,"['siriәn]
adj.
叙利亚的
n.
叙利亚人"
8340,trivial,"['triviәl]
adj.
琐细的, 价值不高的, 微不足道的"
8341,designation,"[ˏdezig'neiʃәn]
n.
指示, 指定, 选派, 名称"
8342,celery,"['selәri]
n.
[植]旱芹, 芹菜"
8343,systemic,"[sis'temik]
adj.
系统的, 身体组织的, 全身的"
8344,porcelain,"['pɔ:slin, -lein]
n.
瓷器, 瓷
adj.
瓷制的, 精美的, 脆的"
8345,gleaming,
8346,inventor,"[in'ventә(r)]
n.
发明家"
8347,deception,"[di'sepʃәn]
n.
欺骗, 诡计"
8348,pricing,"['praisiŋ]
定价"
8349,buzz,"[bʌz]
n.
嗡嗡声
v.
作嗡嗡声, 嗡嗡作响, 逼近"
8350,reinvent,"[ˏri:in'vent]
vt.
（在不知他人以发明的情况下）从复发明,彻底改造,从新使用"
8351,scanner,"['skænә]
n.
扫描器
扫描仪"
8352,fines,"
n. 罚金"
8353,expanse,"[iks'pæns]
n.
宽阔的区域, 宽阔, 苍天, 膨胀扩张"
8354,gourmet,"['guәmei]
n.
能精选品评美食、美洒的人"
8355,clump,"[klʌmp]
n.
土块
v.
丛生"
8356,socket,"['sɔkit]
n.
窝, 穴, 孔, 插座, 牙糟
v.
给...配插座"
8357,boxer,"['bɔksә(r)]
n.
拳师"
8358,aquatic,"[ә'kwætik]
adj.
水的, 水上的, 水生的, 水栖的"
8359,cycling,"['saikliŋ]
n.
骑脚踏车兜风, 骑脚踏车消遣"
8360,famine,"['fæmin]
n.
饥荒, <古>饥饿, 严重的缺乏"
8361,disappoint,"[ˏdisә'pɔint]
vt.
使失望"
8362,bolt,"[bәult]
n.
门闩, 螺钉, 闪电, 跑掉
v.
上门闩, 囫囵吞下, 逃跑"
8363,eerie,"['iәri]
adj.
怪诞的, 可怕的, 不安的, 奇异的"
8364,directory,"[di'rektәri]
n.
姓名地址录, 目录"
8365,moderate,"['mɔdәrit]
adj.
中等的, 适度的, 适中的
v.
缓和"
8366,arrogance,"['ærәgәns]
n.
傲慢态度, 自大"
8367,start-up,"n.
启动"
8368,subdivision,"['sʌbdiˏviʒәn]
n.
细分, 一部"
8369,liaison,"[li(:)'eizɑ:n, -zәn]
n.
联络, (语音)连音"
8370,cassette,"[kɑ:'set]
n.
盒子, 盒式磁带"
8371,dwelling,"['dweliŋ]
n.
住处"
8372,colon,"[kәu'lәun]
n.
冒号"
8373,lighter,"['laitә]
n.
点火者, 打火机, 驳船
v.
驳运"
8374,engineer,"[ˏendʒi'niә]
n.
工程师, 技师, 火车司机, 轮机员, 工兵"
8375,carving,"['kɑ:viŋ]
n.
雕刻品, 雕刻"
8376,algorithm,"['ælgәriðәm]
n.
[数]运算法则"
8377,Dominican,"[dә'minikәn]
[宗]多明我会的
多米尼加共和国的
多米尼加共和国人
多明我会修道士
[动]美国多米尼克肉卵兼用鸡
多米尼克(女子名, 又作Dominica)"
8378,flap,"[flæp]
n.
拍打, 拍打声, 副翼
v.
拍打, 鼓翼而飞, 飘动, 拉下(帽)的边, 扔, 掷"
8379,harden,"['hɑ:dn]
vt.
使变硬, 使坚强, 使冷酷
vi.
变硬, 变冷酷, 涨价"
8380,decidedly,"[di'saididli]
adv.
果断地, 断然地"
8381,hinder,"['hindә]
adj.
后面的
v.
阻碍, 打扰"
8382,evacuation,"[iˏvækju'eiʃәn]
n.
撤退, 走开"
8383,Turk,"[tә:k]
n.
土耳其人, 土耳其马"
8384,frank,"[fræŋk]
adj.
坦白的, 率直的, 老实的
vt.
免费邮寄
n.
免费邮寄特权"
8385,overhead,"['әuvәhed]
adj.
在头上的, 高架的
n.
企业一般管理费用, 天花板adv.在头顶上, 在空中, 在高处"
8386,burner,"['bә:nә]
n.
火炉, 烧火的人"
8387,cluster,"['klʌstә]
n.
串, 丛
vi.
丛生, 成群"
8388,clamp,"[klæmp]
n.
夹子, 夹具, 夹钳
vt.
夹住, 夹紧"
8389,patiently,"['peiʃәntli]
adv.
有耐性地, 有毅力地"
8390,armored,"['ɑ:mәd]
adj.
披甲的, 装甲的"
8391,sage,"[seidʒ]
adj.
贤明的, 明智的, 审慎的
n.
贤人, 圣人, 年高望重的人"
8392,trooper,"['tru:pә(r)]
n.
骑兵, 骑警, 伞兵"
8393,hack,"[hæk]
v.
砍
n.
出租"
8394,irrational,"[i'ræʃәnәl]
adj.
无理性的, 失去理性的"
8395,pristine,"['pristain]
adj.
质朴的"
8396,paperback,"['peipәbæk]
n.
平装本, 纸面本"
8397,boutique,"[bu:'ti:k]
n.
专卖流行衣服的小商店"
8398,abnormal,"[æb'nɔ:mәl]
adj.
反常的, 变态的"
8399,diver,"['daivә]
n.
潜水者"
8400,creditor,"['kreditә]
n.
债权人"
8401,pit,"[pit]
n.
深坑, 深渊, 陷阱, （物体或人体表面上的）凹陷, (英国剧场的)正厅后排、正厅后排的观众
vt.
窖藏, 使凹下, 去...之核, 使留疤痕, 使竞争
vi.
起凹点, 凹陷"
8402,navigation,"[ˏnævi'geiʃәn]
n.
航海, 航空, 导航, 领航, 航行"
8403,hollow,"['hɔlәu]
n.
洞, 窟窿, 山谷
adj.
空的, 虚伪的, 空腹的, 凹的
adv.
<口>彻底vi.形成空洞
vt.
挖空, 弄凹"
8404,plaster,"['plɑ:stә]
n.
石膏, 灰泥, 膏药, 橡皮膏
vt.
涂以灰泥, 敷以膏药, 减轻, 粘贴, 重创"
8405,redemption,"[ri'dempʃәn]
n.
赎回, 偿还, 拯救, 履行"
8406,alpine,"['ælpain]
adj.
高山的, 阿尔卑斯山的"
8407,prosper,"['prɔspә]
v.
成功, 兴隆, 昌盛, (指上帝)使成功, 使昌隆, 繁荣"
8408,improper,"[im'prɔpә]
adj.
不适当的, 不合适的, 不正确的, 不合礼仪的, 不适宜"
8409,escort,"[is'kɔ:t]
n.
护卫(队), 护送, 陪同(人员), 护卫队
v.
护卫, 护送, 陪同"
8410,shelter,"['ʃeltә]
n.
掩蔽处, 身避处, 掩蔽, 保护, 庇护所, 掩体
v.
掩蔽, 躲避"
8411,co-founder,
8412,bang,"[bæŋ]
n.
重击, 突然巨响
v.
发巨响, 重击"
8413,bamboo,"[bæm'bu:]
n.
竹子"
8414,plasma,"['plæzmә]
n.
[解]血浆, 乳浆,[物]等离子体,等离子区"
8415,tread,"[tred]
n.
踏, 步态, 梯级, 踏板, 轮胎面, 交尾, 鞋底
vi.
踏, 行走, 踩碎, 践踏, 交尾
vt.
踩, 踏, 践踏, 跳"
8416,stifle,"['staifl]
vt.
使窒息, 抑制
vi.
窒息, 闷死"
8417,interception,"[ˏintә(:)'sepʃәn]
n.
中途夺取, 拦截,侦听"
8418,pianist,"['piәnist, 'pjænist]
n.
钢琴家, 钢琴演奏家"
8419,downward,"['daunwәd]
adj.
向下的"
8420,cough,"[kɔ:f]
n.
咳嗽
v.
咳嗽"
8421,divided,"[di'vaidid]
adj.
分开的"
8422,sanction,"['sæŋkʃәn]
n.
批准, 同意, 支持, 制裁, 认可
v.
批准, 同意, 支持, 鼓励, 认可"
8423,synthesis,"['sinθisis]
n.
综合, 合成"
8424,Danish,"['deiniʃ]
n.
丹麦语
adj.
丹麦的"
8425,insecurity,"[ˏinsi'kjuәriti]
n.
不安全, 不安全感"
8426,adaptive,"[ә'dæptiv]
adj.
适应的"
8427,boarding,"['bɔ:diŋ]
n.
寄膳宿, 木板boarding car
宿营车"
8428,toast,"[tәust]
n.
烤面包(片), 吐司面包, 干杯
vt.
敬酒, 烤(面包等), 使暖和
vi.
烤暖, 烤火, 烘"
8429,inclination,"[ˏinkli'neiʃәn]
n.
倾斜, 弯曲, 倾度, 倾向, 爱好"
8430,heartbeat,"['hɑ:tbi:t]
n.
心跳"
8431,dot,"[dɔt]
n.
点, 圆点, 园点
vt.
在...上打点"
8432,sentimental,"[ˏsenti'mentl]
adj.
感伤性的, 感情脆弱的"
8433,stainless,"['steinlis]
adj.
纯洁的, 无瑕疵的, 不锈的"
8434,monumental,"[ˏmɔnju'mentl]
adj.
纪念碑的, 纪念物的, 不朽的, 非常的"
8435,recognizable,"['rekәgnaizәbl]
adj.
可认识的, 可辨认的, 可公认的, 可认知的"
8436,memorize,"['memәraiz]
v.
[亦作memorise] 记住, 记忆"
8437,upscale,"['ʌpskeil]
adj.
<美>高消费阶层的,迎合高层次消费者的,(商品)质优价高的"
8438,inclusive,"[in'klu:siv]
adj.
包含的, 包括的"
8439,vocational,"[vәu'keiʃәnәl]
adj.
职业的"
8440,ninety,"['nainti]
num.
九十"
8441,snort,"[snɔ:t]
v.
喷鼻息
n.
喷鼻息"
8442,pilgrimage,"['pilgrimidʒ]
n.
朝圣
vi.
朝拜, 朝圣"
8443,annoying,"[ә'nɔiiŋ]
adj.
恼人的, 讨厌的"
8444,turnaround,"['tә:nәˏraund]
n.
回车场, 转变, 转向, (经济, 营业等的)突然好转"
8445,superficial,"[sju:pә'fiʃәl]
adj.
表面的, 肤浅的, 浅薄的"
8446,vapor,"['veipә]
n.
水汽, 水蒸气, 无实质之物
vi.
蒸发, 自夸
vt.
使蒸发
n.
自夸者"
8447,excursion,"[iks'kә:ʃәn]
n.
远足, 游览, 短程旅行, 远足队, 离题, [物]偏移, 漂移"
8448,hallmark,"['hɔ:lmɑ:k]
n.
特点"
8449,mask,"[mɑ:sk]
n.
面具, 掩饰, 石膏面像
vt.
戴面具, 掩饰, 使模糊
vi.
化装, 戴面具, 掩饰, 参加化装舞会"
8450,puff,"[pʌf]
n.
一阵喷烟, 肿块, 蓬松, 吹嘘, 宣传广告
v.
喷出, 张开, 夸张, (使)膨胀, (使)骄傲, 喘息, 鼓吹, 吹捧"
8451,playing,
8452,rig,"[rig]
n.
索具装备, 钻探设备, 钻探平台, 钻塔
v.
装上索具, 配备, 装配"
8453,misunderstand,"['misʌndә'stænd]
vt.
误解, 误会"
8454,reviewer,"[ri'vju:ә(r)]
n.
批评家, 评论家"
8455,nightclub,"['naitklʌb]
n.
夜总会"
8456,thyme,"[taim]
n.
麝香草属的植物, [植]百里香"
8457,mortar,"['mɔ:tә]
n.
臼, 研钵, 灰泥, 迫击炮
vt.
用灰泥涂抹, 用灰泥结合"
8458,pecan,"[pi'kæn]
n.
[植]美洲山核桃树, 美洲山核桃"
8459,bloc,"[blɔk]
n.
为某种共同目的而采取一致行动的政治组织, 集团"
8460,backing,"['bækiŋ]
n.
衬背, 援助, 支持者, 赞助者"
8461,demonstrator,"['demәnstreitә]
n.
论证者, 示威者, 证明者, 指示者"
8462,asphalt,"['æsfælt]
n.
沥青"
8463,microscope,"['maikrәskәup]
n.
显微镜"
8464,sharpen,"['ʃɑ:pәn]
v.
削尖, 磨快, 尖锐"
8465,spear,"[spiә]
n.
矛, 枪"
8466,subscription,"[sʌb'skripʃәn]
n.
捐献, 订金, 订阅, 签署, 同意, [医]下标处方"
8467,savor,"['seivә]
n.
滋味, 气味, 食欲, 特定的味道或气味, 一种有特色的性质
vi.
有...的滋味, 有...气味
vt.
加调味品于, 使有风味, 尝到或闻到, 尽情享受"
8468,satisfactory,"[ˏsætis'fæktәri]
adj.
满意的, 赎罪的"
8469,superpower,"[sju:pә'pauә]
n.
超级强权"
8470,liable,"['laiәbl]
adj.
有责任的, 有义务的, 易...的, 有...倾向的, 负有责任的, 很有可能的"
8471,cucumber,"['kju:kʌmbә]
n.
[植]黄瓜"
8472,ledge,"[ledʒ]
n.
壁架, 架状突出物, 暗礁, 矿层"
